Product ID,Category,Name,Description,Material,Color,Price (PKR),Image URL
101,Bed,Queen Size Bed,Simple and elegant queen size bed with a slatted headboard design, crafted from solid oak wood for durability.,Oak,White,7000,./bed/101.jpg
102,Bed,Platform Bed,Modern platform bed featuring a low-profile silhouette and upholstered headboard in soft linen fabric, offering a sleek look for your bedroom.,Linen,Gray,8500,./bed/102.jpg
103,Bed,Storage Bed,Functional storage bed with built-in drawers beneath the mattress, providing ample space for bedding and linens.,Pine,Espresso,9500,./bed/103.jpg
104,Bed,Canopy Bed,Romantic canopy bed adorned with sheer curtains, creating a dreamy ambiance in your bedroom. Crafted from sturdy wrought iron.,Wrought Iron,Black,12000,./bed/104.jpg
105,Bed,Bunk Bed,Space-saving bunk bed with a twin-over-full design, perfect for siblings or accommodating guests. Made of solid pine wood for stability.,Pine,Natural,10000,./bed/105.jpg
106,Bed,Loft Bed,Multifunctional loft bed featuring a built-in desk and shelves underneath, ideal for maximizing space in small bedrooms. Constructed from metal.,Metal,Silver,8000,./bed/106.jpg
107,Bed,Sleigh Bed,Classic sleigh bed design with curved headboard and footboard, adding a touch of traditional charm to your bedroom decor.,Mahogany,Cherry,11000,./bed/107.jpg
108,Bed,Adjustable Bed,Ergonomic adjustable bed base with wireless remote control, allowing you to customize your sleeping position for maximum comfort.,Steel,Black,15000,./bed/108.jpg
109,Bed,Murphy Bed,Innovative Murphy bed that folds up into the wall to save space when not in use, perfect for studio apartments or guest rooms.,Wood,White,13000,./bed/109.jpg
110,Bed,Four Poster Bed,Majestic four poster bed featuring carved wooden details and a canopy frame, evoking a sense of grandeur and opulence in your bedroom.,Oak,Mahogany,16000,./bed/110.jpg
111,Bed,Futon Bed,Versatile futon bed that easily converts from a sofa to a bed, providing convenient seating and sleeping options in small living spaces.,Fabric,Navy,6000,./bed/111.jpg
112,Bed,Trundle Bed,Space-efficient trundle bed with a pull-out bottom bed, perfect for accommodating overnight guests or sleepovers. Crafted from durable metal.,Metal,White,9000,./bed/112.jpg
113,Bed,Daybed,Stylish daybed with a tufted backrest and roll-out trundle, offering both seating and sleeping space for lounging or overnight stays.,Velvet,Beige,7500,./bed/113.jpg
114,Bed,Canopy Platform Bed,Contemporary canopy bed with a platform base, combining modern design with the elegance of a canopy frame. Upholstered in luxurious velvet.,Velvet,Charcoal,13500,./bed/114.jpg
115,Bed,Floating Bed,Sleek floating bed design with hidden support beams, giving the illusion of a weightless sleeping platform. Crafted from high-quality acrylic.,Acrylic,Clear,20000,./bed/115.jpg
116,Bed,Panel Bed,Timeless panel bed featuring clean lines and raised panels on the headboard and footboard, adding a touch of sophistication to any bedroom.,Wood,Espresso,10000,./bed/116.jpg
